#threads,exec_time,speedup
1S,0.419045,1
1,0.456850,.917248
2,0.267680,1.565469
3,0.209816,1.997202
4,0.182524,2.295835
5,0.186040,2.252445
6,0.171859,2.438306
7,0.182226,2.299589
8,0.179583,2.333433
9,0.181200,2.312610
10,0.174507,2.401307
11,0.173789,2.411228
12,0.203192,2.062310
13,0.182098,2.301205
14,0.193715,2.163203
15,0.190295,2.202080
16,0.180628,2.319933
