#threads,exec_time,speedup
1S,125.029890,1
1,126.674003,.987020
2,66.660876,1.875611
3,45.335637,2.757872
4,35.895876,3.483126
5,34.272808,3.648078
6,33.460281,3.736665
7,32.384741,3.860765
8,29.947193,4.175011
9,33.546799,3.727028
10,33.267428,3.758327
11,33.695910,3.710536
12,37.750351,3.312019
13,38.030109,3.287655
14,37.961300,3.293614
15,39.935278,3.130813
16,40.192206,3.110799
