#threads,exec_time,speedup
1S,0.016052,1
1,0.013928,1.152498
2,0.010493,1.529781
3,0.007612,2.108775
4,0.007995,2.007754
5,0.008225,1.951610
6,0.007543,2.128065
7,0.006255,2.566266
8,0.006856,2.341306
9,0.006399,2.508516
10,0.006639,2.417834
11,0.007286,2.203129
12,0.006411,2.503821
13,0.007275,2.206460
14,0.006308,2.544705
15,0.007421,2.163050
16,0.007724,2.078197
