#threads,exec_time,speedup
1S,5.737063,1
1,5.898473,.972635
2,3.344166,1.715543
3,2.584924,2.219431
4,1.921210,2.986171
5,1.927159,2.976953
6,1.906515,3.009188
7,1.938995,2.958781
8,1.809544,3.170446
9,1.680251,3.414408
10,1.963614,2.921685
11,1.951818,2.939343
12,2.296150,2.498557
13,2.198025,2.610099
14,2.025081,2.833004
15,2.357601,2.433432
16,2.654008,2.161660
