#threads,exec_time,speedup
1S,4.322570,1
1,4.340000,.995983
2,2.340982,1.846477
3,1.831168,2.360553
4,1.572224,2.749334
5,1.393620,3.101684
6,1.389299,3.111331
7,1.520752,2.842389
8,1.393464,3.102032
9,1.413167,3.058782
10,1.371120,3.152583
11,1.478291,2.924031
12,1.581832,2.732635
13,1.587316,2.723194
14,1.874733,2.305698
15,1.978960,2.184263
16,2.452282,1.762672
