#threads,exec_time,speedup
1S,0.025658,1
1,0.026310,.975218
2,0.014555,1.762830
3,0.010791,2.377722
4,0.009073,2.827951
5,0.009025,2.842991
6,0.009826,2.611235
7,0.011309,2.268812
8,0.010981,2.336581
9,0.010098,2.540899
10,0.009893,2.593550
11,0.011158,2.299516
12,0.011214,2.288032
13,0.009104,2.818321
14,0.010270,2.498344
15,0.011870,2.161583
16,0.012581,2.039424
