#threads,exec_time,speedup
1S,0.030927,1
1,0.032545,.950284
2,0.020231,1.528693
3,0.018181,1.701061
4,0.012328,2.508679
5,0.012515,2.471194
6,0.011476,2.694928
7,0.013635,2.268206
8,0.011644,2.656046
9,0.012443,2.485493
10,0.012031,2.570609
11,0.013619,2.270871
12,0.012996,2.379732
13,0.013670,2.262399
14,0.012958,2.386710
15,0.012308,2.512755
16,0.013543,2.283615
