#threads,exec_time,speedup
1S,0.014998,1
1,0.016436,.912509
2,0.010186,1.472413
3,0.009306,1.611648
4,0.007661,1.957707
5,0.006091,2.462321
6,0.008122,1.846589
7,0.007031,2.133124
8,0.005885,2.548513
9,0.007127,2.104391
10,0.006322,2.372350
11,0.006933,2.163277
12,0.007411,2.023748
13,0.007229,2.074699
14,0.007384,2.031148
15,0.007931,1.891060
16,0.006447,2.326353
