#threads,exec_time,speedup
1S,124.704746,1
1,126.465324,.986078
2,65.380627,1.907365
3,45.632474,2.732807
4,35.921453,3.471595
5,33.615976,3.709686
6,33.770140,3.692751
7,31.933950,3.905083
8,33.069433,3.770997
9,33.945966,3.673624
10,35.453276,3.517439
11,35.231423,3.539588
12,36.156548,3.449022
13,36.661907,3.401480
14,35.934555,3.470329
15,37.568582,3.319389
16,37.673784,3.310120
