#threads,exec_time,speedup
1S,0.065745,1
1,0.063375,1.037396
2,0.037035,1.775212
3,0.030581,2.149864
4,0.024906,2.639725
5,0.032402,2.029041
6,0.024647,2.667464
7,0.026926,2.441692
8,0.024648,2.667356
9,0.023067,2.850175
10,0.026958,2.438793
11,0.033340,1.971955
12,0.029152,2.255248
13,0.028682,2.292204
14,0.027979,2.349798
15,0.033080,1.987454
16,0.027206,2.416562
