#threads,exec_time,speedup
1S,0.753418,1
1,0.816863,.922330
2,0.443444,1.699014
3,0.322429,2.336694
4,0.272336,2.766501
5,0.242775,3.103359
6,0.260845,2.888374
7,0.231513,3.254322
8,0.250820,3.003819
9,0.256845,2.933356
10,0.284940,2.644128
11,0.253755,2.969076
12,0.297406,2.533297
13,0.294322,2.559842
14,0.316066,2.383736
15,0.312185,2.413370
16,0.306494,2.458181
