#threads,exec_time,speedup
1S,0.229969,1
1,0.243694,.943679
2,0.134729,1.706900
3,0.098210,2.341604
4,0.072515,3.171330
5,0.080225,2.866550
6,0.096330,2.387304
7,0.083603,2.750726
8,0.086791,2.649687
9,0.085988,2.674431
10,0.093672,2.455045
11,0.092939,2.474407
12,0.102813,2.236769
13,0.091232,2.520705
14,0.095929,2.397283
15,0.116191,1.979232
16,0.110975,2.072259
