#threads,exec_time,speedup
1S,0.039346,1
1,0.039662,.992032
2,0.023448,1.678010
3,0.017345,2.268434
4,0.013271,2.964810
5,0.015729,2.501494
6,0.016239,2.422932
7,0.016296,2.414457
8,0.014237,2.763644
9,0.015784,2.492777
10,0.018603,2.115035
11,0.015686,2.508351
12,0.017895,2.198714
13,0.015470,2.543374
14,0.013497,2.915166
15,0.014558,2.702706
16,0.016742,2.350137
