#threads,exec_time,speedup
1S,3.627682,1
1,3.791782,.956722
2,2.163869,1.676479
3,1.705289,2.127312
4,1.400024,2.591157
5,1.427717,2.540897
6,1.507972,2.405669
7,1.712010,2.118960
8,1.337090,2.713117
9,1.432083,2.533150
10,1.640612,2.211176
11,1.592867,2.277454
12,1.583866,2.290397
13,1.780789,2.037120
14,1.771829,2.047422
15,1.874709,1.935064
16,2.207116,1.643629
