#threads,exec_time,speedup
1S,0.023027,1
1,0.024236,.950115
2,0.013800,1.668623
3,0.010748,2.142445
4,0.010684,2.155278
5,0.008920,2.581502
6,0.008632,2.667632
7,0.009105,2.529049
8,0.009285,2.480021
9,0.010341,2.226767
10,0.010306,2.234329
11,0.009191,2.505385
12,0.010139,2.271131
13,0.009724,2.368058
14,0.009115,2.526275
15,0.008667,2.656859
16,0.010199,2.257770
