#threads,exec_time,speedup
1S,0.016033,1
1,0.016324,.982173
2,0.010788,1.486188
3,0.008670,1.849250
4,0.008098,1.979871
5,0.009968,1.608447
6,0.007710,2.079507
7,0.007771,2.063183
8,0.008449,1.897621
9,0.008131,1.971836
10,0.007113,2.254041
11,0.007748,2.069308
12,0.007746,2.069842
13,0.007042,2.276767
14,0.007799,2.055776
15,0.009095,1.762836
16,0.008499,1.886457
