#threads,exec_time,speedup
1S,0.434279,1
1,0.453488,.957641
2,0.261715,1.659358
3,0.216374,2.007075
4,0.162263,2.676389
5,0.163826,2.650855
6,0.174266,2.492046
7,0.184537,2.353343
8,0.184241,2.357124
9,0.172788,2.513363
10,0.200207,2.169149
11,0.184065,2.359378
12,0.183757,2.363333
13,0.179550,2.418707
14,0.176284,2.463519
15,0.186427,2.329485
16,0.206412,2.103942
